Year,Month,Day,Precipitation,Relative Humidity,Pressure,Temp_avg,Temp_min,Temp_max
2009,April,8,10.05,57.35,98.29,14.22,10.02,20.54
2009,April,9,0.04,56.09,98.17,13.67,7.07,20.31
2009,April,10,0.3,49.16,97.79,16.55,8.76,24.56
2009,April,11,6.48,76.63,97.55,11.58,7.51,14.62
2009,April,12,0.3,57.59,97.6,11.27,4.6,17.25
2009,April,13,0.32,60.61,98,12.27,5.46,19.21
2009,April,14,0,50.05,98.24,15.09,7.26,22.97
2009,April,15,0,44.68,98.26,16.81,9.67,24.73
2009,April,16,0,38.04,98.11,19.18,10.72,27.69
2009,April,17,0.48,48.86,98.08,18.16,11.73,25.46
2009,April,18,1.97,51.02,98.16,16.41,11.64,22.81
2009,April,19,10.5,66.58,98.27,13.33,9.36,17.89
2009,April,20,0.28,53.57,98.62,14.16,8.8,21.34
2009,April,21,0.34,54.97,98.69,13.98,7.27,20.67
2009,April,22,0.92,59.11,98.48,14.85,8.32,20.83
2009,April,23,0.05,50.64,98.68,17.22,9.77,25.04
2009,April,24,0,42.23,98.79,18.49,11.61,26.09
2009,April,25,0,37.12,98.43,20.11,11.58,29.84
2009,April,26,0.12,34.56,97.68,20.03,15.26,26.64
2009,April,27,0.01,45.61,97.96,16.31,10.95,22.72
2009,April,28,0,38.93,98.35,16.95,8.45,25.02
2009,April,29,0,42.73,98.53,18.79,11.23,26.41
2009,April,30,0,39.71,98.55,19.63,11.69,26.66
2009,May,1,1.74,46.9,98.26,18.69,14.01,24.35
2009,May,2,2.73,56.34,98.74,16.46,11.67,21.26
2009,May,3,0.01,45.89,99.04,17.25,9.12,23.91
2009,May,4,0,37.9,98.85,19.78,12.33,26.93
2009,May,5,0.08,42.72,98.68,19.69,12.95,26.89
2009,May,6,0,44.99,98.89,17.58,9.98,24.25
2009,May,7,0,50.06,99.06,18.48,11.47,24.87
2009,May,8,0,43.22,99.03,20.22,12.92,27.49
2009,May,9,0,36.25,98.84,21.22,13.82,29.12
2009,May,10,0,29.38,98.64,22.72,14.47,29.72
2009,May,11,0,35.31,98.61,22.71,14.73,30.35
2009,May,12,0,37.64,98.6,22.13,14.62,29.43
2009,May,13,0.16,36.17,98.16,23.49,16.04,31.14
2009,May,14,4.88,44.28,97.47,23.36,17.42,31.06
2009,May,15,5.79,57.55,97.69,18,13.15,23.61
2009,May,16,0.23,43.38,98.41,18.58,10.65,26.67
2009,May,17,0,35.95,98.65,20.99,12.09,29.44
2009,May,18,0,32.21,98.78,23.25,14.48,31.25
2009,May,19,0,30.98,98.84,26.19,18.08,34.28
2009,May,20,0.03,26.68,98.78,29.17,23.11,35.84
2009,May,21,0,29.05,98.65,28.94,22.58,35.6
2009,May,22,0,32.28,98.65,27.79,20.17,35.51
2009,May,23,0,32.53,98.68,25.39,18.25,32.65
2009,May,24,0,28.97,98.57,26.36,18.97,33.85
2009,May,25,0.02,22.8,98.38,27.14,19.62,35.1
2009,May,26,0,24.29,98.11,28.47,19.86,37.18
2009,May,27,0.04,36.09,98.37,27.65,20.71,36.05
2009,May,28,0.02,35.44,98.67,26.61,19.64,34.33
2009,May,29,0,36.91,98.61,25.59,18.06,32.6
2009,May,30,0.02,31.35,98.45,25.96,20.08,32.44
2009,May,31,0.02,32.12,98.02,27.76,21.56,34.94
2009,June,1,0,34.33,98.22,26.74,19.37,33.84
2009,June,2,0.04,30.41,98.22,28.27,19.95,36.31
2009,June,3,0,26.52,98.2,27.53,19.27,35.49
2009,June,4,0,32.38,98.36,26.6,19.2,33.41
2009,June,5,0,25.21,97.95,28.1,20.3,35.3
2009,June,6,0,25.96,97.67,28.31,20.35,36.11
2009,June,7,0,30.86,97.86,28.29,21.19,35.81
2009,June,8,0,32.57,98.09,27.78,19.92,35.21
2009,June,9,0,29.98,98.24,29.24,20.18,37.54
2009,June,10,0,36.6,98.68,30.34,23.33,37.28
2009,June,11,0,33.01,98.87,30.89,23.76,37.76
2009,June,12,0.04,29.42,98.66,32.82,26.4,39.46
2009,June,13,0,26.42,98.71,31.05,23.58,38.84
2009,June,14,0,24.2,98.85,29.96,22.79,37.26
2009,June,15,0,23.63,98.74,29.23,21.32,36.84
2009,June,16,0,28.51,98.6,29.41,21.43,36.88
2009,June,17,0,25.74,98.64,30.33,21.88,37.8
2009,June,18,0,25.23,98.7,30.08,22.97,37.46
2009,June,19,0,23.09,98.58,30.69,22.58,37.52
2009,June,20,0,24.75,98.33,32.07,25.3,38.73
2009,June,21,0,30.05,98.19,31.3,22.88,38.93
2009,June,22,0,27.61,98.47,26.87,18.05,34.68
2009,June,23,0,28.56,98.24,28.82,20.66,37.16
2009,June,24,0,28.45,98.03,30.62,21.73,38.64
2009,June,25,0.06,29.91,98.06,31.19,26.28,37.13
2009,June,26,0.17,40.79,98.3,26.11,20.49,31.75
2009,June,27,0,27.09,98.29,27.94,19.5,36.34
2009,June,28,0.05,28.2,98.28,30.76,22.37,38.61
2009,June,29,1.39,37.14,98.44,29.1,24.48,34.65
2009,June,30,0.01,33.97,98.49,31.2,22.74,38.64
2009,July,1,0,27.77,98.62,31.58,24.84,37.4
2009,July,2,0,26.19,98.55,32.29,24.23,38.98
2009,July,3,0,24.7,98.29,33.41,25.01,40.92
2009,July,4,0,29.71,98.09,33.2,25.66,40.9
2009,July,5,0,21.69,97.97,34.7,28.42,42.24
2009,July,6,0.15,20.08,97.95,35.06,27.45,42.59
2009,July,7,0.64,23.4,98.07,34.42,28.79,41.39
2009,July,8,0.34,23.63,98.07,35.63,29.48,43.18
2009,July,9,0.02,27.88,98.16,35.76,28.64,42.85
2009,July,10,0.06,29.58,98.33,33.18,27.51,39.61
2009,July,11,0.01,36.52,98.55,31.41,25.52,37.6
2009,July,12,0.01,31.36,98.54,32.49,26.41,38.77
2009,July,13,0.02,24.71,98.34,34.58,26.88,42.12
2009,July,14,2.2,21.3,98.19,36.77,30.48,44.09
2009,July,15,0.32,29.17,98.59,34.48,29.16,40.52
2009,July,16,0,25.69,98.68,34.69,27.83,42.09
2009,July,17,0,24.93,98.39,35.63,28.23,42.98
2009,July,18,0,24.52,98.43,33.5,26.95,40.68
2009,July,19,0,33.98,98.83,30.91,26.42,36.28
2009,July,20,0,29.01,98.88,31.11,24.71,37.77
2009,July,21,0,26.22,98.71,33.33,25.22,41.08
2009,July,22,0,24.81,98.59,34.55,27.11,42.22
2009,July,23,0,25.29,98.63,34.1,27.04,41.38
2009,July,24,0,19.69,98.79,33.78,26.35,40.78
2009,July,25,0.01,15.34,98.78,35.6,27.1,43.58
2009,July,26,0.01,14.46,98.63,36.46,29.31,44.34
2009,July,27,0.12,20.57,98.56,34.84,27.85,42.26
2009,July,28,0.73,22.87,98.55,35.13,28.71,42.84
2009,July,29,0,18.19,98.56,35.81,28.33,44.57
2009,July,30,0,17.4,98.51,35.55,29.14,43.51
2009,July,31,0,26.46,98.57,32.69,26.2,38.91
2009,August,1,0,26.27,98.47,31.44,25.39,38.14
2009,August,2,0,20.54,98.35,32.53,24.9,40.06
2009,August,3,0,15.85,98.26,33.25,25.3,41.74
2009,August,4,0,19.85,98.17,34.08,26.54,42.71
2009,August,5,0,26.28,98.32,32.65,25.19,39.73
2009,August,6,0,27.51,98.44,32.51,25.09,39.96
2009,August,7,0,23.36,98.26,33.42,25.94,40.9
2009,August,8,0.04,23.14,98.18,33.09,26.23,40.4
2009,August,9,0.46,24.89,98.17,33.18,26.72,39.87
2009,August,10,0.08,22.38,98.35,34.6,28.32,41.88
2009,August,11,0,22.5,98.5,34.49,27.77,41.3
2009,August,12,0.01,22.7,98.38,34.12,27.33,41.16
2009,August,13,0.03,19.99,98.11,34.6,27.36,42.78
2009,August,14,0.13,19.07,98.03,34.81,27.07,43.92
2009,August,15,0.02,21.22,98.15,34.82,27.07,44.25
2009,August,16,0.01,20.87,98.07,36.26,28.96,43.79
2009,August,17,0.09,33.46,98.19,34.44,28.4,41.15
2009,August,18,0.07,36.03,98.55,32.71,27.57,37.85
2009,August,19,0.14,30.8,98.67,32.12,26.55,37.84
2009,August,20,0.38,29.61,98.62,31.24,25.85,37.02
2009,August,21,0.28,29.57,98.64,31.71,27.07,36.7
2009,August,22,0,29.97,98.58,31.15,24.93,37.42
2009,August,23,0,25.99,98.39,31.35,24.84,37.97
2009,August,24,0,22.91,98,32.43,25.13,40.35
2009,August,25,3.56,24.67,97.97,32.19,24.44,39.91
2009,August,26,4.17,35.32,98.34,31.65,25.67,39.85
2009,August,27,0.26,34.58,98.48,31.15,26.17,36.26
2009,August,28,0.13,45.01,98.24,28.68,25.48,33.08
2009,August,29,0.25,41.09,98.32,29.09,23.63,34.85
2009,August,30,0,38.94,98.45,29.47,23.15,35.37
2009,August,31,0,34.62,98.53,29.89,23.66,36.48
2009,September,1,0,35.01,98.52,30.82,23.99,37.56
2009,September,2,0,34.77,98.41,31.91,24.76,38.92
2009,September,3,0,26.17,98.24,33.8,27.05,40.88
2009,September,4,0,24.88,98.29,33.18,26.8,40.42
2009,September,5,0,22.79,98.25,34.61,27.28,42.32
2009,September,6,0.72,38.68,98.36,32.79,27.21,38.76
2009,September,7,1.88,49.62,98.53,29.25,26.54,32.25
2009,September,8,4.45,58.21,98.57,25.38,22.25,28.61
2009,September,9,4.58,65.67,98.54,24.27,21.51,27.84
2009,September,10,0,50.45,98.71,25.62,20.11,30.6
2009,September,11,0.16,65.05,98.64,21.9,18.98,23.66
2009,September,12,15.95,78,98.25,20.39,18.93,22.72
2009,September,13,1.7,54.42,98.3,23.84,17.74,29.48
2009,September,14,2.2,52.4,98.24,24.47,19.21,30.27
2009,September,15,6.23,53.55,97.85,24.78,19.57,31.59
2009,September,16,0,46.73,97.94,24.06,19.6,29.96
2009,September,17,0,43.01,98.3,24.97,19,31.45
2009,September,18,0.01,49.34,98.33,26.07,20,32.39
2009,September,19,1.03,45.53,98.66,24.73,19.63,29.77
2009,September,20,0.43,47.6,98.81,21.54,16.09,26.55
2009,September,21,0.45,47.79,98.58,22.29,17.13,27.61
2009,September,22,1.37,53.93,98.65,21.87,15.97,27.17
2009,September,23,4.81,60.26,98.51,21.13,17.13,25.03
2009,September,24,0.32,61.37,98.46,21.02,16.2,25.85
2009,September,25,0.5,55.74,98.51,23.13,17.74,29.8
2009,September,26,0.07,54.06,98.71,22.58,16.53,28.57
2009,September,27,2.61,55.3,98.72,22.72,17.89,28.12
2009,September,28,0.25,50.9,98.43,23.99,19.2,29.65
2009,September,29,0.09,57.5,98.39,23.83,19.16,29.3
2009,September,30,0.92,63.21,98.52,24.53,19.13,30.07
2009,October,1,0.29,46.58,98.29,24.61,19.6,30.38
2009,October,2,0.06,49.94,98.51,22.68,17.1,29.15
2009,October,3,0.01,47.95,98.64,22.73,16.63,28.74
2009,October,4,0,38.63,98.79,23.61,17.52,30.2
2009,October,5,0,39.44,99.01,23.29,16.93,30.49
2009,October,6,0,36.44,99.1,23.82,17.32,31.39
2009,October,7,0,36.41,99,24.3,19.27,31.43
2009,October,8,0,36.69,98.74,24.07,18.73,30.85
2009,October,9,0,34.42,98.62,24.98,19.69,31.7
2009,October,10,0.12,45.74,98.57,23.65,17.75,29.06
2009,October,11,1.21,50.55,98.47,23.21,18.77,28.55
2009,October,12,0.01,46.56,98.56,21.77,16.26,27.77
2009,October,13,0,45.89,98.54,21.14,15.13,28.26
2009,October,14,0,43.99,98.43,18.86,11.83,26.92
2009,October,15,0,45.94,98.22,19.06,12.59,26.23
2009,October,16,0.01,43.81,98.58,17.63,12.59,24.08
2009,October,17,0.01,46.83,98.59,16.32,10.53,23.09
2009,October,18,0.04,47.62,98.27,17.51,11.35,24.61
2009,October,19,0.21,48.62,98.35,16.85,11.96,22.84
2009,October,20,0,46.31,98.23,17.64,11.39,24.6
2009,October,21,0.63,53.2,98.06,17.66,14.09,22.08
2009,October,22,0.43,50.18,97.89,21.79,16.33,28.1
2009,October,23,0,48.61,98.44,18.85,13.67,25.39
2009,October,24,0,54.54,98.54,19.54,12.33,28.4
2009,October,25,0.04,58.17,98.36,20.21,13.9,28.09
2009,October,26,0.01,52.95,98.52,19.76,15.02,26.29
2009,October,27,0,52.19,98.73,18.78,13.95,24.6
2009,October,28,0,48.77,98.88,18.9,12.79,25.5
2009,October,29,0,40.33,98.85,19.14,12.76,26.66
2009,October,30,0,32.08,98.88,19.56,13.77,27
2009,October,31,0,43.49,99.08,19.21,13.8,26.69
2009,November,1,0,54.39,98.97,17.97,12.82,25
2009,November,2,0,47.59,98.5,18.34,12.46,25.34
2009,November,3,0.03,50.97,98.01,19.05,14.72,25.63
2009,November,4,0,44.74,97.86,19.43,12.88,27.27
2009,November,5,0.16,52.44,97.82,18.59,14.09,25.15
2009,November,6,0.15,55.13,98.04,14.32,10.49,18.58
2009,November,7,0.05,55.11,98.37,14,7.87,20.88
2009,November,8,0.24,54.52,97.94,13.95,9.6,18.99
2009,November,9,0.39,61.02,97.78,10.95,7.31,14.87
2009,November,10,0.02,57.99,98.34,11.21,5.55,18.41
2009,November,11,0,55.03,98.41,13.89,6.69,21.64
2009,November,12,0,49.31,98.76,15.27,10.68,22.41
2009,November,13,0,38.44,99.14,14.94,9.17,22.83
2009,November,14,0,35.98,99.37,15.49,10.88,22.84
2009,November,15,0,34.35,99.34,15.81,10.48,23.91
2009,November,16,0,35.06,99.28,15.06,10.45,23.28
2009,November,17,0,35.33,99.33,15.49,10.16,23.23
2009,November,18,0,33.33,99.34,15.99,11.26,23.81
2009,November,19,0,34.7,99.31,15.23,9.9,22.55
2009,November,20,0,34.12,99.55,15.59,11.6,21.55
2009,November,21,0,44.99,99.79,16.24,11.05,22.9
2009,November,22,0,58.39,99.62,15.5,10.41,22.6
2009,November,23,0,48.32,99.49,15.73,9.76,23.53
2009,November,24,0,57.46,99.57,14.79,10.06,22.03
2009,November,25,0,53.26,99.37,13.62,8.81,20.88
2009,November,26,0,46.95,99.22,14.4,9.26,21.29
2009,November,27,0,47.48,99,14.53,9.97,21.12
2009,November,28,0,43.03,99.07,14.49,10.61,20.21
2009,November,29,0,41.8,98.6,12.22,7.43,17.76
2009,November,30,1.02,53.47,98.01,9.69,5.97,15.97
2009,December,1,0.08,59.37,98.55,8.81,4.98,14.67
2009,December,2,0,62.13,98.98,9.05,2.36,16.76
2009,December,3,1.87,58.87,98.6,10.46,5.54,16.22
2009,December,4,0.04,65.09,98.55,11.31,7.51,17.85
2009,December,5,0.02,65.18,98.83,11.83,6.19,20.02
2009,December,6,0,64.16,99.12,11.33,7.39,17.76
2009,December,7,0,54.4,99.11,10.97,6.78,17.75
2009,December,8,0,48.41,99.06,11.76,6.52,20.31
2009,December,9,0,65.51,99.17,12.91,7.4,20.66
2009,December,10,0,64.26,99.21,11.93,6.46,19.31
2009,December,11,0,61.98,98.8,11.03,5.79,17.94
2009,December,12,0.04,55.79,98.12,10.82,6.01,18.67
2009,December,13,0,62.55,97.64,8.34,5.5,12.85
2009,December,14,2.95,58.23,97.04,9.49,5.49,15.48
2009,December,15,0.49,69.32,97.28,8.31,3.87,14.14
2009,December,16,0.03,58.76,98.31,7.94,2.16,14.42
2009,December,17,0.03,66.46,98.17,13.43,9.02,20.85
2009,December,18,0.36,73.5,97.74,12.04,7.01,17.83
2009,December,19,3.99,71.99,97,13.38,9.5,18.93
2009,December,20,0.12,53.94,98.12,9.14,5,14.57
2009,December,21,0,67.44,98.93,6.32,1.07,12.2
2009,December,22,0.01,68.58,98.44,9.73,4.08,14.89
2009,December,23,4.27,65.22,98.15,14.02,9.09,18.9
2009,December,24,0.05,71.61,97.9,15.19,10.86,21.41
2009,December,25,0.2,63.06,98.19,16.85,13.4,22.33
2009,December,26,1.9,75.65,97.97,15.05,12.68,18.14
2009,December,27,0.11,64.32,98.46,13.92,8.42,20.39
2009,December,28,0,58.94,98.94,10.79,6.88,16.48
2009,December,29,0,40.33,98.74,13.19,8.33,19.96
2009,December,30,0,43.12,98.48,11.54,7.51,18.11
2009,December,31,0,51.97,97.95,9.95,4.59,15.39
2010,January,1,0.06,61.32,98.3,11.78,7.49,18.4
2010,January,2,0.01,67.25,98.93,10.59,4.92,17.17
2010,January,3,0,58.28,99,10.97,6.45,17.73
2010,January,4,0,56.93,98.37,9.64,5.39,16.02
2010,January,5,0,53.77,97.57,9.95,4.04,16.34
2010,January,6,0.05,63.94,97.76,12.53,5.64,19.29
2010,January,7,1.85,61.7,97.36,11.06,7.01,15.45
2010,January,8,7.82,66.41,97.34,8.11,4.28,11.69
2010,January,9,0.01,53.71,98.29,4.29,0.68,9.09
2010,January,10,0,52.17,98.87,3.83,-1.82,10.07
2010,January,11,7.66,67.72,98.72,7.29,1.04,14.45
2010,January,12,0.58,74.27,98.75,9.7,5.14,15.62
2010,January,13,1.28,54.43,98.27,11.58,7.76,17.87
2010,January,14,9.65,70.47,97.98,12.44,8.3,19.59
2010,January,15,1.31,64.19,98.23,11.31,8.33,15.83
2010,January,16,0.08,60.77,99.22,10.38,5.69,17.53
2010,January,17,0,48.29,99.32,11.31,6.46,17.74
2010,January,18,0,54.27,99.05,13.05,7.07,19.44
2010,January,19,0,60.65,98.85,12.87,6.77,19.51
2010,January,20,0.18,66.9,98.77,12.08,7.07,18.82
2010,January,21,0.03,59.81,98.88,11.2,6.38,17.97
2010,January,22,0,59.41,99.04,9.36,4.45,15.58
2010,January,23,0.01,61.05,98.82,8.99,4.79,13.25
2010,January,24,0,58.49,98.78,9.85,5.03,15.99
2010,January,25,0.01,55.64,98.43,11.26,5.69,18.59
2010,January,26,3.97,68.02,97.6,11.39,8.23,15.81
2010,January,27,0.15,62.63,97.92,11.77,7.65,18.02
2010,January,28,0.09,60.73,98.11,10.49,5.79,16.64
2010,January,29,0.07,65.83,97.68,8.63,3.93,14.01
2010,January,30,0.1,61.46,97.56,8.43,2.98,16.09
2010,January,31,0.01,62.83,97.98,8.9,2.19,16.17
2010,February,1,0.02,59.61,98.43,8.82,2.66,16.13
2010,February,2,0,59.27,99.45,5.8,0.71,12.54
2010,February,3,0,49.88,99.48,6.52,1.95,13.74
2010,February,4,0.01,52.82,99.11,7.51,2.24,13.42
2010,February,5,0.02,61.94,98.9,13,6.12,21.51
2010,February,6,0.01,60,98.73,13.15,7.54,19.78
2010,February,7,0.01,56.82,98.24,11.57,4.87,19.42
2010,February,8,0.05,53.42,97.63,11.13,8.05,15.68
2010,February,9,1.78,60.89,96.96,12.15,7.02,18.81
2010,February,10,0.11,57.62,97.34,9.52,5.23,15.54
2010,February,11,4.81,64.07,97.28,8.9,3.3,15.76
2010,February,12,0.01,49.87,97.96,5.59,-0.71,12.31
2010,February,13,8.13,67.5,97.79,4.72,2.8,7.88
2010,February,14,0.1,67.84,97.53,8.09,1.87,15.81
2010,February,15,1.68,62.17,97.51,9.21,4.38,15.02
2010,February,16,1.01,55.66,96.8,12.29,6.24,20.16
2010,February,17,0.33,53.83,97.21,14.78,9.33,22.76
2010,February,18,1.52,60.03,97.61,16.98,9.86,23.14
2010,February,19,0.24,49.5,97.17,16.58,9.25,23.65
2010,February,20,0,50.81,98.16,10.43,5.7,16.94
2010,February,21,0.19,51.2,98.31,10.9,5.84,16.24
2010,February,22,0.04,62.7,98.01,14.36,7.36,21.82
2010,February,23,0.02,58.29,98.17,16.27,10.65,23.24
2010,February,24,0,56.27,98.6,15.22,8.88,22.97
2010,February,25,0,46.96,98.5,16.37,7.71,24.75
2010,February,26,0,44.1,98.36,19.1,13.14,27.44
2010,February,27,0,40.06,98.22,19.87,13.66,29.87
2010,February,28,0,29.03,97.98,19.25,12.39,27.65
2010,March,1,0,37.2,98.54,17.87,12.27,24.42
2010,March,2,0.02,48.42,98.87,15.81,11.22,21.36
2010,March,3,0,43.78,97.93,17.27,12.13,23.29
2010,March,4,0.01,51.93,98.34,15.38,8.46,22.79
2010,March,5,0,53.84,98.37,16.26,9.1,23.78
2010,March,6,0.09,47.89,97.7,16.76,12.54,20.84
2010,March,7,2.28,69.18,97.19,13.63,9.13,18.12
2010,March,8,1.89,63.01,97.64,12.39,5.82,17.68
2010,March,9,12.9,62.87,96.97,11.81,6.53,15.53
2010,March,10,0.02,51.33,98.04,9.85,3.44,16.15
2010,March,11,0.91,47.19,98.34,11.83,4.49,18.71
2010,March,12,1.32,55.66,98.19,12.73,8.64,17.46
2010,March,13,0.08,50.84,98.5,11.64,6.23,18.1
2010,March,14,0.19,52.69,98.97,10.22,4.74,15.72
2010,March,15,0.13,50.52,99.25,11.17,6.43,17.12
2010,March,16,0,40.95,99.5,12.3,5.94,19.09
2010,March,17,0,41.82,100.02,12.19,5.61,19.58
2010,March,18,0,43.68,100.24,11.63,4.72,19.21
2010,March,19,0,32.13,99.97,14.03,6.83,22.7
2010,March,20,0,28.84,99.63,16.34,9.12,24.75
2010,March,21,0,27.96,99.31,15.64,9.87,21.67
2010,March,22,0,29.35,98.7,17.38,11.43,24.63
2010,March,23,0,46.83,98.56,17.44,9.97,24.69
2010,March,24,0,41.37,98.35,17.8,10.67,25.01
2010,March,25,0,35.12,98.35,18.05,13.97,23.03
2010,March,26,0,33.67,98.63,22.29,15.84,30.42
2010,March,27,0,40.66,98.83,20.27,13.71,26.86
2010,March,28,0,48.21,99,17.33,11.25,24.59
2010,March,29,0,38.79,98.44,19.27,11.88,26.81
2010,March,30,0,38.45,98.21,19.44,13.99,26.09
2010,March,31,0,35.37,98.48,16.55,9.32,22.92
2010,April,1,0,38.08,98.46,18.36,13.54,24.89
2010,April,2,0,41.65,98.78,17.56,9.59,23.81
2010,April,3,0,40.31,98.66,18.56,11.47,25.5
2010,April,4,0,38.55,98.59,20.36,13.85,27.88
2010,April,5,0.01,47.65,99.28,16.46,13.07,20.27
2010,April,6,0,37.42,99.01,17.56,11.36,23.98
2010,April,7,0,39.41,98.38,17.44,13.29,22.11
2010,April,8,0.01,44.04,98.42,18.1,11.65,25.85
